"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"aMule";"r10443";"i486";"1dj";"/salix/xap";"GeoIP,atk,binutils,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gd,gdk-pixbuf2,glib2,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXpm,libXrandr,libXrender,libXxf86vm,libjpeg,libpng,libtermcap,libtiff,libupnp,libxcb,pango,pixman,readline,sdl,svgalib,util-linux,wxGTK,zlib";"4328 K";"17312 K";" aMule (multiplatform ed2k client)  aMule is a multiplatform ed2k client, fork of the eMule client, using the wxWidgets class library, supporting Linux, *BSD platforms, Solaris, *MacOSX and *Win32 (*soon). It was originally forked from the xMule project, which in turn was forked from the lMule project.     "
"aacgain";"1.8";"i486";"1tm";"/salix/ap";"cxxlibs|gcc-g++,gcc";"336 K";"1344 K";" aacgain (adds ReplayGain info to AAC files)  AACGain is a modification to Glen Sawyer's excellent mp3gain program. It supports AAC (mp4/m4a/QuickTime) audio files in addtion to mp3 files. If you are not familiar with mp3gain, stop reading this, and go to http://mp3gain.sourceforge.net.  AACGain normalizes the volume of digital music files using the Replay Gain algorithm. It works by modifying the global_gain fields in the mp4 samples. Free-form metadata tags are added to the file to save undo information, making the normalization process reversable."
"abiword";"2.8.6";"i486";"2gv";"/salix/xap";"GConf,ORBit2,atk,bzip2,cairo,cxxlibs|gcc-g++,enchant,expat,fontconfig,freetype,fribidi,gcc,gdk-pixbuf2,glib2,goffice,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libgsf,libjpeg,libpng,librsvg,libxcb,libxml2,pango,pixman,wv,zlib";"2670 K";"10680 K";" abiword (word processing for everyone)  AbiWord is a lean and fast full-featured word processor. It can import many formats including Word97/2000 and RTF, Palm, Psion, DocBook and XHTML documents, and can export to RTF, Palm, Psion, XHTML, Text, and LaTeX formats. Linux Journal calls it "an elegant, open source word processor that delivers the Word functionality most people use."    "
"acpica";"20110527";"i486";"1ab";"/salix/d";"";"389 K";"1556 K";" acpica (ACPI Source Language [ASL] Utils)  ACPI CA includes:  - iasl, an ASL compiler/decompiler  - acpisrc, a source code conversion tool  - acpiexec, a user-space AML interpreter  - acpixtract, convert ascii ACPI tables to binary  Homepage: http://acpica.org  "
"adom";"1.1.1";"i486";"1gv";"/salix/games";"ncurses";"735 K";"2940 K";" adom (a roguelike game) Ancient Domains of Mystery (ADOM for short) is a roguelike game which means that it is a single-user game featuring the exploration of a dungeon complex (and in the case of ADOM and a few other games of this genre: the exploration of a large wilderness area with villages and many special locations). You control a fictional character described by race, class, attributes, skills, and equipment. Your character is trying to achieve a specific goal  and succeed in a difficult quest. This game is postcardware."
"agave";"0.4.4";"i486";"2gv";"/salix/xap";"GConf,ORBit2,alsa-lib,atk,audiofile,cairo,cairomm,cxxlibs|gcc-g++,dbus,dbus-glib,esound,expat,fontconfig,freetype,gcc,gconfmm,gdk-pixbuf2,glib2,glibmm,gnome-vfs,gtk+2,gtkmm,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libart_lgpl,libbonobo,libbonoboui,libcanberra,libgcrypt,libglade,libglademm,libgnome,libgnome-keyring,libgnomecanvas,libgnomeui,libgpg-error,libogg,libpng,libsigc++,libtool,libvorbis,libxcb,libxml2,openssl-solibs|openssl,pango,pangomm,pixman,popt,util-linux,zlib";"144 K";"576 K";" agave - a colourscheme designer  Agave is a very simple application for the GNOME desktop that allows you to generate a variety of colorschemes from a single starting color. It is free software licensed under the open-source GPL License.      "
"alac";"0.2.0";"i486";"2tm";"/salix/ap";"";"9 K";"36 K";" alac (ALAC decoder)  alac is a basic decoder for Apple Lossless Audio Codec files (ALAC). ALAC is a proprietary lossless audio compression scheme. Apple never released any documents on the format. What I provide here is a C implementation of a decoder, written from reverse engineering the file format.    "
"allegro";"4.4.0.1";"i486";"2gv";"/salix/l";"libICE,libSM,libX11,libXau,libXcursor,libXdmcp,libXext,libXfixes,libXpm,libXrender,libXxf86vm,libxcb,util-linux";"1104 K";"4416 K";" Allegro (a game programming library for C/C++)  Allegro is a game programming library for C/C++ developers distributed freely, supporting the following platforms: Unix (Linux, FreeBSD, etc.), Windows, MacOS X and Haiku/BeOS. Older versions also support DOS and QNX. It provides many functions for graphics, sounds, player input (keyboard, mouse and joystick) and timers. It also provides fixed and floating point mathematical functions, 3d functions, file management functions, compressed datafile and a GUI.  "
"amrnb";"7.0.0.2";"i486";"1gv";"/salix/ap";"";"193 K";"772 K";" amrnb (3GPP AMR NarrowBand Speech Codecs)  This is the 3GPP released AMR reference implementation. Adaptive Multi-Rate Floating-point (AMR) Speech Codec 3GPP. This distribution is for non-commercial purpose only. Ask http://www.3gpp.org for a commercial license.     "
"amrwb";"7.0.0.3";"i486";"1gv";"/salix/ap";"";"109 K";"436 K";" amrwb (3GPP AMR Wideband Speech Codecs)  This is the 3GPP released AMR/AMR-WB reference implementations. Adaptive Multi-Rate - Wideband (AMR-WB) Speech Codec 3GPP. This distribution is for non-commercial purpose only. Ask http://www.3gpp.org for a comvercial license.     "
"amsn";"0.98.4";"i486";"1vc";"/salix/xap";"cxxlibs|gcc-g++,farsight2,gcc,glib2,gst-plugins-base,gstreamer,libICE,libSM,libX11,libXau,libXdmcp,libjpeg,libpng,libxcb,libxml2,util-linux,v4l-utils,zlib,tcl,tk";"11293 K";"45172 K";" amsn (free MSN messenger)  aMSN is a free open source MSN Messenger clone, with features such as: Offline Messaging, Voice Clips, Display pictures Custom emoticons, Multi-language support (around 40 languages currently supported), Webcam support, Sign in to more than one account at once, Full-speed File transfers, Group support Normal, and animated emoticons with sounds, Chat logs Timestamping, Event alarms, Conferencing support Tabbed chat windows http://www.amsn-project.net/"
"anagramarama";"0.4";"i486";"1gv";"/salix/games";"libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libxcb,sdl,svgalib";"458 K";"1832 K";" anagramarama (word game based on anagrams)  Like anagrams? You'll love anagramarama. The aim is to find as many words as possible in the time available. Get the longest word and you will advance to the next level. Three words describe it... Simple Addictive Fun Multi Lingual Dictionaries mean that you can play in English, French, Italian, Portuguese and more... International translation effort underway right now. Please join the project to help out!  "
"ant";"1.8.2";"noarch";"1cp";"/salix/d";"jdk";"5545 K";"22180 K";" ant (Java library and command-line tool)  Ant's mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant can also be used effectively to build non Java applications, for instance C or C++ applications. More generally, Ant can be used to pilot any type of process which can be described in terms of targets and tasks. "
"apvlv";"0.1.1";"i486";"1gv";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,djvulibre,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,lcms,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libjpeg,libpng,libxcb,libxml2,pango,pixman,poppler,zlib";"159 K";"636 K";" apvlv (A PDF Viewer which behaves like Vim)  apvlv is a small and fast PDF viewer, that uses poppler for rendering. Its interface aims to users who like vim behaviour. For example opening a PDF file can be done with ':o filename'. apvlv can also work with tabs, so you can open multiple files at the same time in one program.    "
"ario";"1.5.1";"i486";"1ab";"/salix/xap";"atk,cairo,curl,cxxlibs|gcc-g++,cyrus-sasl,dbus,dbus-glib,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libgcrypt,libgpg-error,libidn,libmpdclient,libnotify,libpng,libsoup,libunique,libxcb,libxml2,openldap-client,openssl-solibs|openssl,pango,pixman,taglib,zlib";"415 K";"1660 K";" ario (a GTK2 client for MPD)  Ario is a GTK2 client for MPD (Music player daemon). The interface used to browse the library is inspired by Rhythmbox but Ario aims to be much lighter and faster. It runs on various Unixes (Linux, OpenBSD, Mac OS X...) and Windows.     "
"arnold";"20090317";"i486";"1gv";"/salix/games";"alsa-lib,atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,sdl,svgalib,zlib";"193 K";"772 K";" arnold (an emulator for the Amstrad CPC)  Arnold is an Amstrad CPC, Amstrad CPC+ and KC Compact emulator. Arnold is accurate and emulates the Amstrad systems to the cycle level. It also emulates 99% of all demo effects.      "
"asunder";"2.0";"i486";"1gv";"/salix/xap";"atk,cairo,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libcddb,libpng,libxcb,pango,pixman,zlib";"86 K";"344 K";" asunder (a graphical Audio CD ripper and encoder)  Asunder is a graphical Audio CD ripper and encoder for Linux. You can use it to save tracks from an Audio CD as WAV, MP3, OGG, FLAC and/or WavPack.      "
"atanks";"4.7";"i486";"1gv";"/salix/games";"";"1877 K";"7508 K";" atanks (Atomic Tanks - a Scorched Earth clone)  Annihilate the other tanks to earn money, then spend it on bigger and better shields and weapons to wipe out the opposition. Features a wide array of weapons, AI players, destructible landscape, weather, parachutes, teleports and a wide range of other features.     "
"aubio";"0.3.2";"i486";"2tm";"/salix/l";"alsa-lib,cxxlibs|gcc-g++,dbus,fftw,flac,gcc,jack,lash,libogg,libsamplerate,libsndfile,libvorbis,libxml2,util-linux,zlib";"70 K";"280 K";" aubio - A library for audio labelling  aubio is a library for audio labelling. Its features include segmenting a sound file before each of its attacks, performing pitch detection, tapping the beat and producing midi streams from live audio. The name aubio comes from 'audio' with a typo: several transcription errors are likely to be found in the results too.   "
"audacity";"1.3.13";"i486";"1ab";"/salix/xap";"alsa-lib,atk,cairo,cxxlibs|gcc-g++,dbus,expat,ffmpeg,flac,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,jack,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libid3tag,libjpeg,libmad,libogg,libpng,libsndfile,libtiff,libvorbis,libxcb,pango,pixman,sdl,svgalib,twolame,util-linux,wxGTK,zlib";"11091 K";"44364 K";" audacity (cross-platform sound editor)  Audacity is a free, easy-to-use audio editor and recorder, which can be used to:     * Record live audio.     * Convert tapes and records into digital recordings or CDs.     * Edit Ogg Vorbis, MP3, WAV or AIFF sound files.     * Cut, copy, splice or mix sounds together.     * Change the speed or pitch of a recording.     * And more! See the complete list of features       (http://audacity.sourceforge.net/about/features)"
"autogen";"5.11.1";"i486";"1ab";"/salix/d";"gmp,guile,libtool,libxml2,zlib";"536 K";"2144 K";" autogen (an automated text file generator)  AutoGen is a tool designed to simplify the creation and maintenance of programs that contain large amounts of repetitious text. It is especially valuable in programs that have several blocks of text that must be kept synchronized.  AutoGen will accept either its own definition format, or XML files as definition input, in addition to CGI data (for producing dynamic HTML) and traditional AutoGen definitions. "
