xfce4-dict@0.6.0@i486@1lm@/salix/xfce@atk,cairo,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,startup-notification,util-linux,xcb-util,xfce,zlib@107 K@428 K
libreoffice-l10n-fi@3.3.2@i686@1gv@/salix/locale@@1437 K@5748 K
libreoffice-l10n-pt@3.3.2@i686@1gv@/salix/locale@@2523 K@10092 K
hplip@3.11.3a@i486@1gv@/salix/ap@cups,cxxlibs|gcc-g++,dbus,gcc,libexif,libgphoto2,libieee1284,libjpeg,libpng,libtiff,libtool,libusb,net-snmp,openssl-solibs|openssl,sane,v4l-utils,zlib@11038 K@44152 K
openbox@3.4.11.2@i486@3tm@/salix/xap@cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,libICE,libSM,libX11,libXau,libXcursor,libXdmcp,libXext,libXfixes,libXft,libXinerama,libXrandr,libXrender,libxcb,libxml2,pango,startup-notification,util-linux,xcb-util,zlib@272 K@1088 K
gnet@2.0.8@i486@1gv@/salix/gnome@glib2@147 K@588 K
gartoon-redux-icon-theme@1.10@noarch@1tm@/salix/l@@5973 K@23892 K
claws-mail@3.7.8@i486@2tm@/salix/xap@atk,cairo,curl,cxxlibs|gcc-g++,cyrus-sasl,db44,dbus,dbus-glib,enchant,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gpgme,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libetpan,libgcrypt,libgpg-error,libidn,libpng,libxcb,openldap-client,openssl-solibs|openssl,pango,pixman,startup-notification,util-linux,xcb-util,zlib@2123 K@8492 K
mednafen@0.8.D.3@i486@1gv@/salix/games@alsa-lib,cxxlibs|gcc-g++,flac,gcc,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libcdio,libogg,libsndfile,libvorbis,libxcb,sdl,svgalib,zlib,pygobject,pygtk,python,configobj@1409 K@5636 K
libreoffice-l10n-ne@3.3.2@i686@1gv@/salix/locale@@1742 K@6968 K
libcanberra@0.26@i486@1gv@/salix/l@alsa-lib,atk,cairo,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gstreamer,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libogg,libpng,libtool,libvorbis,libxcb,libxml2,pango,pixman,zlib@58 K@232 K
stressapptest@1.0.3@i486@1ab@/salix/ap@cxxlibs|cxxlibs|gcc-g++,gcc,libaio@97 K@388 K
gparted@0.8.0@i486@1pw@/salix/xap@atk,cairo,cairomm,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,glibmm,gtk+2,gtkmm,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libsigc++,libxcb,lvm2,pango,pangomm,parted,pixman,udev,util-linux,zlib@613 K@2452 K
gsshfs@1.0.4@i486@1pw@/salix/xap@atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib,sshfs-fuse@29 K@116 K
fpc@2.4.4@i486@1ab@/salix/d@@15825 K@63300 K
dconf@0.5.1@i486@1gv@/salix/gnome@atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,libxml2,pango,pixman,zlib@59 K@236 K
when@1.1.28@noarch@1gv@/salix/ap@@42 K@168 K
libreoffice-l10n-vi@3.3.2@i686@1gv@/salix/locale@@1596 K@6384 K
wine-gecko@1.0.0@i486@1cd@/salix/xap@wine@7934 K@31736 K
